"permit_issued_date","lon","lat","year"
2017-08-08,-74.122979,40.572276,2017
2017-08-08,-74.1633,40.604327,2017
2017-08-08,-74.166356,40.541543,2017
2017-08-08,-74.096329,40.570493,2017
2017-08-08,-74.096358,40.570465,2017
2017-08-08,-74.110109,40.591003,2017
2017-08-08,-74.110109,40.591003,2017
2017-08-08,-74.089869,40.606192,2017
2017-08-08,-74.089869,40.606192,2017
2017-08-08,-74.089837,40.606225,2017
2017-08-08,-74.089801,40.606257,2017
2017-08-08,-74.13472,40.578875,2017
2017-08-08,-74.189122,40.547414,2017
2017-08-08,-74.135188,40.579237,2017
2017-08-08,-74.114422,40.573819,2017
2017-08-08,-74.181822,40.548834,2017
2017-08-08,-74.153119,40.589854,2017
2017-08-08,-74.167376,40.639836,2017
2017-08-08,-74.160687,40.542144,2017
2019-06-04,-74.158463,40.543319,2019
2019-06-04,-74.158528,40.543388,2019
2017-08-09,-74.101599,40.620641,2017
2017-08-09,-74.241597,40.499122,2017
2017-08-09,-74.107284,40.564963,2017
2017-08-09,-74.096774,40.577275,2017
2017-08-09,-74.124709,40.615884,2017
2017-08-09,-74.246292,40.510668,2017
2017-08-11,-74.085925,40.616982,2017
2017-08-09,-74.096779,40.573042,2017
2017-08-09,-74.096779,40.573042,2017
2017-08-09,-74.096728,40.573015,2017
2017-08-09,-74.108067,40.641946,2017
2017-08-09,-74.108085,40.642028,2017
2017-08-09,-74.108009,40.641669,2017
2017-08-09,-74.108009,40.641669,2017
2017-08-09,-74.154583,40.553612,2017
2017-08-09,-74.154583,40.553612,2017
2017-08-09,-74.09983,40.562826,2017
2017-08-09,-74.09983,40.562826,2017
2017-08-09,-74.110318,40.571636,2017
2017-08-09,-74.244453,40.507373,2017
2019-06-04,-74.108311,40.57917,2019
2017-08-09,-74.162859,40.625501,2017
2019-06-04,-74.098595,40.618627,2019
2017-08-09,-74.14418,40.627109,2017
2017-08-09,-74.163028,40.624087,2017
2017-08-09,-74.167117,40.614318,2017
2017-08-09,-74.196928,40.546424,2017
2017-08-15,-74.086244,40.615557,2017
2017-08-10,-74.09589,40.598177,2017
2017-08-10,-74.09589,40.598177,2017
2019-06-04,-74.21132,40.516579,2019
2017-08-10,-74.162445,40.535554,2017
2017-08-10,-74.132353,40.619773,2017
2019-07-03,-74.072161,40.593271,2019
2017-08-10,-74.156741,40.530187,2017
2017-08-10,-74.147457,40.615311,2017
2017-08-10,-74.209036,40.53869,2017
2017-08-10,-74.147682,40.563771,2017
2017-08-10,-74.092187,40.57138,2017
2017-08-10,-74.092187,40.57138,2017
2017-08-10,-74.080763,40.617098,2017
2017-08-10,-74.080763,40.617098,2017
2017-08-10,-74.080763,40.617098,2017
2017-08-10,-74.083034,40.632785,2017
2017-08-10,-74.100457,40.575018,2017
2017-08-10,-74.100457,40.575018,2017
2017-08-10,-74.100457,40.575018,2017
2017-08-11,-74.085586,40.639412,2017
2017-08-11,-74.085586,40.639412,2017
2017-08-11,-74.207764,40.540303,2017
2019-06-18,-74.088016,40.639992,2019
2019-06-18,-74.088026,40.639924,2019
2017-08-11,-74.096651,40.596544,2017
2017-08-11,-74.083871,40.641766,2017
2017-08-11,-74.145824,40.53859,2017
2017-08-16,-74.145824,40.53859,2017
2017-08-11,-74.158957,40.589198,2017
2017-08-11,-74.176022,40.527192,2017
2017-08-11,-74.099043,40.602262,2017
2017-08-11,-74.080763,40.617098,2017
2017-08-11,-74.142523,40.619036,2017
2017-08-11,-74.21357,40.545678,2017
2017-08-11,-74.18651,40.59368,2017
2017-08-14,-74.080655,40.580718,2017
2017-08-14,-74.080655,40.580718,2017
2017-08-14,-74.237075,40.512749,2017
2017-08-14,-74.237075,40.512749,2017
2017-08-15,-74.163622,40.540227,2017
2017-08-22,-74.078934,40.645077,2017
2017-08-14,-74.167479,40.636355,2017
2017-08-14,-74.082102,40.62745,2017
2017-08-14,-74.082102,40.62745,2017
2017-08-14,-74.083846,40.575998,2017
2017-08-14,-74.083846,40.575998,2017
2017-08-14,-74.101599,40.620641,2017
2017-08-14,-74.115279,40.638851,2017
2017-08-14,-74.115279,40.638851,2017
2017-08-14,-74.09983,40.562826,2017
2017-08-14,-74.156962,40.636414,2017
2017-08-14,-74.157737,40.534679,2017
2017-08-14,-74.18096,40.522941,2017
2017-08-14,-74.203774,40.530764,2017
2017-08-14,-74.193303,40.543546,2017
2017-08-14,-74.199934,40.519297,2017
2017-08-14,-74.137727,40.618037,2017
2017-08-14,-74.181683,40.565334,2017
2017-08-14,-74.238004,40.49997,2017
2017-08-14,-74.237994,40.499942,2017
2017-08-14,-74.121862,40.605358,2017
2017-08-14,-74.076061,40.615715,2017
2017-08-14,-74.185421,40.538892,2017
2017-08-14,-74.173804,40.552717,2017
2019-03-15,-74.138061,40.546291,2019
2017-08-15,-74.096217,40.575346,2017
2017-08-15,-74.10785,40.578942,2017
2017-08-17,-74.105206,40.561798,2017
2019-03-15,-74.147999,40.606159,2019
2017-08-16,-74.172018,40.52419,2017
2017-08-15,-74.084531,40.642539,2017
2017-08-15,-74.096217,40.575346,2017
2017-08-15,-74.231727,40.504267,2017
2017-08-15,-74.230825,40.504481,2017
2017-08-15,-74.06946,40.616389,2017
2017-08-15,-74.092349,40.571207,2017
2017-08-15,-74.149685,40.629024,2017
2017-08-15,-74.149685,40.629024,2017
2017-08-15,-74.094009,40.600029,2017
2017-08-15,-74.094009,40.600029,2017
2018-12-20,-74.140453,40.638159,2018
2017-08-15,-74.094009,40.600029,2017
2017-08-15,-74.094009,40.600029,2017
2017-08-15,-74.114074,40.576611,2017
2017-08-15,-74.092349,40.571207,2017
2017-08-15,-74.093382,40.64309,2017
2017-08-15,-74.210703,40.551354,2017
2017-08-15,-74.194312,40.55384,2017
2017-08-15,-74.143537,40.614643,2017
2017-08-16,-74.114952,40.630955,2017
2017-08-16,-74.114952,40.630955,2017
2017-08-16,-74.106226,40.564893,2017
2017-08-16,-74.096217,40.575346,2017
2017-08-16,-74.182672,40.541331,2017
2017-08-16,-74.194055,40.54487,2017
2017-08-16,-74.112343,40.624068,2017
2017-08-16,-74.112343,40.624068,2017
2017-08-16,-74.148561,40.628954,2017
2017-08-16,-74.172018,40.52419,2017
2017-08-16,-74.102804,40.563444,2017
2017-08-16,-74.178863,40.54179,2017
2017-08-16,-74.239761,40.506507,2017
2017-08-16,-74.198927,40.555531,2017
2017-08-16,-74.079328,40.600271,2017
2017-08-17,-74.105045,40.560189,2017
2017-08-17,-74.105045,40.560189,2017
2017-08-17,-74.088926,40.636056,2017
2017-08-17,-74.088926,40.636056,2017
2017-08-17,-74.088893,40.636017,2017
2017-08-17,-74.088893,40.636017,2017
2017-08-17,-74.247487,40.505091,2017
2017-11-22,-74.107094,40.585676,2017
2017-08-17,-74.134851,40.606729,2017
2017-08-21,-74.108914,40.560653,2017
2017-08-17,-74.213002,40.524193,2017
2017-08-17,-74.110088,40.64389,2017
2017-08-17,-74.178415,40.543619,2017
2017-08-17,-74.088827,40.618728,2017
2017-09-01,-74.231574,40.503606,2017
2017-08-17,-74.141322,40.633269,2017
2017-08-17,-74.118221,40.568902,2017
2017-08-17,-74.079469,40.627776,2017
2017-08-17,-74.096858,40.575614,2017
2017-08-17,-74.199164,40.556875,2017
2017-08-17,-74.194381,40.517045,2017
2017-08-17,-74.18642,40.593633,2017
2017-08-18,-74.133872,40.621157,2017
2017-08-18,-74.076684,40.599295,2017
2017-08-18,-74.222996,40.521613,2017
2017-08-18,-74.230354,40.504421,2017
2017-08-18,-74.243219,40.514051,2017
2017-08-18,-74.15094,40.61672,2017
2017-08-18,-74.152672,40.624466,2017
2017-08-18,-74.152672,40.624466,2017
2017-08-18,-74.152622,40.624592,2017
2017-08-30,-74.152654,40.624507,2017
2017-08-18,-74.15259,40.624677,2017
2017-08-18,-74.152608,40.624636,2017
2017-08-18,-74.072121,40.612374,2017
2017-08-18,-74.151035,40.566517,2017
2017-08-21,-74.103295,40.590255,2017
2017-08-21,-74.06946,40.616389,2017
2017-09-06,-74.133258,40.611255,2017
2017-08-21,-74.089635,40.603856,2017
2017-08-21,-74.163359,40.622549,2017
2017-08-21,-74.100386,40.561434,2017
2017-08-21,-74.162103,40.536746,2017
2017-08-21,-74.218423,40.545224,2017
2017-08-21,-74.136676,40.605857,2017
2017-08-21,-74.162816,40.549,2017
2017-08-21,-74.131473,40.602987,2017
2017-08-21,-74.157331,40.541029,2017
2017-08-21,-74.157331,40.541029,2017
2017-08-21,-74.157364,40.541062,2017
2017-08-21,-74.157364,40.541062,2017
2017-08-21,-74.086616,40.636104,2017
2017-08-21,-74.086616,40.636104,2017
2017-08-21,-74.086713,40.636027,2017
2017-08-21,-74.086713,40.636027,2017
2017-08-21,-74.158909,40.579465,2017
2017-08-21,-74.242573,40.507528,2017
2017-08-22,-74.105649,40.566796,2017
2017-08-22,-74.105649,40.566796,2017
2017-08-22,-74.166402,40.549777,2017
2017-08-22,-74.22166,40.522008,2017
2017-08-22,-74.22167,40.521904,2017
2017-08-22,-74.221692,40.521904,2017
2017-08-22,-74.217209,40.525027,2017
2017-10-10,-74.122567,40.56376,2017
2017-08-22,-74.123771,40.574249,2017
2017-08-22,-74.123771,40.574249,2017
